rank,name,conference,division,win,loss
1,Miami Heat,east,southeast,53,29
2,Boston Celtics,east,atlantic,51,31
3,Milwaukee Bucks,east,central,51,31
4,Philadelphia 76ers,east,atlantic,51,31
5,Toronto Raptors,east,atlantic,48,34
6,Chicago Bulls,east,central,46,36
7,Brooklyn Nets,east,atlantic,44,38
8,Atlanta Hawks,east,southeast,43,39
9,Cleveland Cavaliers,east,central,44,38
10,Charlotte Hornets,east,southeast,43,39
11,New York Knicks,east,atlantic,37,45
12,Washington Wizards,east,southeast,35,47
13,Indiana Pacers,east,central,25,57
14,Detroit Pistons,east,central,23,59
15,Orlando Magic,east,southeast,22,60
