rank,name,conference,division,win,loss
1,Phoenix Suns,west,pacific,64,18
2,Memphis Grizzlies,west,southwest,56,26
3,Golden State Warriors,west,pacific,53,29
4,Dallas Mavericks,west,southwest,52,30
5,Utah Jazz,west,northwest,49,33
6,Denver Nuggets,west,northwest,48,34
7,Minnesota Timberwolves,west,northwest,46,36
8,New Orleans Pelicans,west,southwest,36,46
9,LA Clippers,west,pacific,42,40
10,San Antonio Spurs,west,southwest,34,48
11,Los Angeles Lakers,west,pacific,33,49
12,Sacramento Kings,west,pacific,30,52
13,Portland Trail Blazers,west,northwest,27,55
14,Oklahoma City Thunder,west,northwest,24,58
15,Houston Rockets,west,southwest,20,62
